t,T1,Q1
0.0,33.14,0.0
1.0002186298370361,33.27,0.0
2.000725507736206,33.47,0.0
3.0016133785247803,33.72,0.0
4.0016255378723145,33.79,0.0
5.001971960067749,34.11,0.0
6.002942085266113,34.11,0.0
7.002991199493408,34.4,0.0
8.003664493560791,34.43,0.0
9.004029750823975,34.66,0.0
10.004811763763428,34.76,0.0
11.005682468414307,34.76,0.0
12.005686044692993,35.08,0.0
13.006066799163818,35.08,0.0
14.006479263305664,35.08,0.0
15.007374048233032,35.37,1.0
16.00737500190735,35.4,1.0
17.00789499282837,35.4,1.0
18.008851051330566,35.53,1.0
19.009050369262695,35.69,1.0
20.009251594543457,35.72,1.0
21.00944495201111,35.72,1.0
22.009883403778076,35.79,1.0
23.010778188705444,35.98,1.0
24.010778427124023,36.01,1.0
25.010780811309814,36.04,1.0
26.011780977249146,36.11,1.0
27.01278018951416,36.3,1.0
28.013745307922363,36.37,1.0
29.01451849937439,36.37,1.0
30.014688730239868,36.53,1.0
31.0156569480896,36.69,1.0
32.01631188392639,36.69,1.0
33.017210721969604,36.98,1.0
34.01729702949524,37.01,1.0
35.01777648925781,37.17,1.0
36.01777648925781,37.33,1.0
37.01787757873535,37.33,1.0
38.01801252365112,37.62,1.0
39.018187284469604,37.66,1.0
40.01836848258972,37.66,1.0
41.01874613761902,37.98,1.0
42.0196590423584,37.98,1.0
43.02060508728027,37.98,1.0
44.0207576751709,38.27,1.0
45.02132821083069,38.3,1.0
46.02232265472412,38.3,1.0
47.023290395736694,38.33,1.0
48.023807764053345,38.62,1.0
49.02476930618286,38.66,1.0
50.02548146247864,38.88,1.0
51.026052951812744,38.95,1.0
52.02648329734802,39.2,1.0
53.02689743041992,39.27,1.0
54.02786922454834,39.36,1.0
55.02864050865173,39.59,1.0
56.029335260391235,39.59,1.0
57.02933859825134,39.88,1.0
58.02975606918335,39.91,1.0
59.029810190200806,40.2,1.0
60.03021430969238,40.27,1.0
61.0304172039032,40.52,1.0
62.030962228775024,40.62,1.0
63.03192901611328,40.88,1.0
64.03292655944824,41.17,1.0
65.03292655944824,41.2,1.0
66.03356909751892,41.52,1.0
67.03392219543457,41.56,1.0
68.03394889831543,41.85,1.0
69.03414940834045,41.88,1.0
70.03486776351929,42.17,1.0
71.03553557395935,42.33,1.0
72.03604698181152,42.49,1.0
73.03699779510498,42.65,1.0
74.0372474193573,42.81,1.0
75.03793025016785,42.94,1.0
76.03888940811157,43.13,1.0
77.03927707672119,43.2,1.0
78.04001784324646,43.46,1.0
79.04055094718933,43.59,1.0
80.04107880592346,43.78,1.0
81.04191994667053,43.91,1.0
82.04271101951599,44.1,1.0
83.0432345867157,44.39,1.0
84.04422879219055,44.42,1.0
85.04423475265503,44.65,1.0
86.0451922416687,44.78,1.0
87.04519414901733,45.04,1.0
88.04591751098633,45.07,1.0
89.04662799835205,45.33,1.0
90.04750370979309,45.39,1.0
91.04751682281494,45.62,1.0
92.0475537776947,45.71,1.0
93.04791116714478,45.84,1.0
94.04861211776733,46.04,1.0
95.0491132736206,46.13,1.0
96.04922342300415,46.36,1.0
97.04924988746643,46.39,1.0
98.0497567653656,46.68,1.0
99.05012679100037,46.71,1.0
100.05012702941895,47.0,1.0
101.050133228302,47.0,1.0
102.0501344203949,47.23,1.0
103.05113005638123,47.32,1.0
104.05159306526184,47.58,1.0
105.05235266685486,47.65,1.0
106.05280256271362,47.74,1.0
107.0537896156311,47.97,1.0
108.05448698997498,47.97,1.0
109.05534315109253,48.29,1.0
110.05535054206848,48.29,1.0
111.05589699745178,48.61,1.0
112.05616307258606,48.61,1.0
113.05708312988281,48.68,1.0
114.05721664428711,48.94,1.0
115.05754780769348,48.94,1.0
116.0584077835083,49.16,1.0
117.05859780311584,49.26,1.0
118.05860781669617,49.45,1.0
119.05896067619324,49.58,1.0
120.05917835235596,49.68,1.0
121.06014275550842,49.9,1.0
122.06069254875183,49.9,1.0
123.06160926818848,50.0,1.0
124.06214213371277,50.22,1.0
125.0623722076416,50.26,1.0
126.06303238868713,50.55,1.0
127.06338143348694,50.55,1.0
128.0634982585907,50.68,1.0
129.06356763839722,50.87,1.0
130.06419944763184,50.9,1.0
131.0642592906952,51.19,1.0
132.06426191329956,51.19,1.0
133.06459426879883,51.35,1.0
134.06496715545654,51.55,1.0
135.06597185134888,51.55,1.0
136.06696701049805,51.84,1.0
137.06751012802124,51.84,1.0
138.06773781776428,51.9,1.0
139.06809782981873,52.16,1.0
140.0680980682373,52.16,1.0
141.06905913352966,52.42,1.0
142.06980967521667,52.48,1.0
143.07037258148193,52.48,1.0
144.0711271762848,52.77,1.0
145.07202911376953,52.8,1.0
146.0722713470459,52.8,1.0
147.0732662677765,53.13,1.0
148.07331776618958,53.13,1.0
149.07335090637207,53.13,1.0
150.07383155822754,53.38,1.0
151.0748007297516,53.45,1.0
152.0757975578308,53.48,1.0
153.07665300369263,53.77,1.0
154.07703828811646,53.77,1.0
155.07707595825195,53.8,1.0
156.07766556739807,53.96,1.0
157.0778043270111,54.09,1.0
158.07797026634216,54.09,1.0
159.07800936698914,54.29,1.0
160.07900261878967,54.38,1.0
161.07912421226501,54.41,1.0
162.07977032661438,54.41,1.0
163.07977747917175,54.61,1.0
164.0797791481018,54.74,1.0
165.08040523529053,54.74,1.0
166.08048605918884,54.87,1.0
167.08148527145386,55.06,1.0
168.0818111896515,55.06,1.0
169.08281207084656,55.16,1.0
170.08362364768982,55.19,1.0
171.08435225486755,55.38,1.0
172.0843586921692,55.41,1.0
173.0853259563446,55.7,1.0
174.08543300628662,55.7,1.0
175.0856852531433,55.7,1.0
176.08572936058044,55.99,1.0
177.08637833595276,56.03,1.0
178.0871617794037,56.03,1.0
179.08804893493652,56.06,1.0
180.0880856513977,56.35,1.0
181.0885021686554,56.35,1.0
182.0888752937317,56.38,1.0
183.08910608291626,56.44,1.0
184.08910608291626,56.61,1.0
185.08962106704712,56.67,1.0
186.09003067016602,56.67,1.0
187.09082436561584,56.8,1.0
188.091392993927,56.96,1.0
189.0913965702057,56.99,1.0
190.09156894683838,56.99,1.0
191.09170866012573,57.02,1.0
192.09270644187927,57.25,1.0
193.09329748153687,57.31,1.0
194.09372425079346,57.35,1.0
195.09372472763062,57.48,1.0
196.09472250938416,57.6,1.0
197.09524536132812,57.57,1.0
198.0959494113922,57.64,1.0
199.09666180610657,57.8,1.0
200.09666395187378,57.96,1.0
201.09764909744263,57.96,1.0
202.0979654788971,57.96,1.0
203.09805822372437,58.02,1.0
204.09905362129211,58.22,1.0
205.10002207756042,58.22,1.0
206.10021877288818,58.28,1.0
207.1012146472931,58.35,1.0
208.10220980644226,58.51,1.0
209.10320663452148,58.57,1.0
210.10378170013428,58.57,1.0
211.1043734550476,58.6,1.0
212.10532546043396,58.7,1.0
213.10589337348938,58.93,1.0
214.10608577728271,58.93,1.0
215.10640001296997,58.93,1.0
216.10715007781982,59.02,1.0
217.1076157093048,59.25,1.0
218.1085021495819,59.22,1.0
219.1087830066681,59.25,1.0
220.1097822189331,59.28,1.0
221.11025524139404,59.25,1.0
222.1106481552124,59.47,1.0
223.1114056110382,59.57,1.0
224.1114056110382,59.57,1.0
225.11199188232422,59.57,1.0
226.11290860176086,59.6,1.0
227.1130609512329,59.67,1.0
228.11332321166992,59.83,1.0
229.1133885383606,59.86,1.0
230.11366629600525,59.89,1.0
231.11463499069214,59.89,1.0
232.1151728630066,59.89,1.0
233.11599683761597,59.89,1.0
234.11602139472961,60.09,1.0
235.11621403694153,60.15,1.0
236.1162188053131,60.21,1.0
237.11642003059387,60.21,1.0
238.1167027950287,60.21,1.0
239.11709189414978,60.25,1.0
240.1171417236328,60.41,1.0
241.11730408668518,60.54,1.0
242.1182198524475,60.54,1.0
243.1191382408142,60.54,1.0
244.11914539337158,60.57,1.0
245.12014079093933,60.76,1.0
246.1209454536438,60.86,1.0
247.12138772010803,60.86,1.0
248.12139010429382,60.86,1.0
249.12225103378296,60.86,1.0
250.12225437164307,60.96,1.0
251.1225221157074,61.18,1.0
252.1232192516327,61.18,1.0
253.12387895584106,61.18,1.0
254.12429928779602,61.25,1.0
255.12430429458618,61.31,1.0
256.1252655982971,61.41,1.0
257.1257600784302,61.5,1.0
258.1267282962799,61.5,1.0
259.1271369457245,61.5,1.0
260.12813568115234,61.5,1.0
261.1283314228058,61.67,1.0
262.12901544570923,61.83,1.0
263.1297469139099,61.83,1.0
264.13071060180664,61.83,1.0
265.1307113170624,61.83,1.0
266.130722284317,61.96,1.0
267.1307258605957,62.15,1.0
268.131685256958,62.15,1.0
269.13223528862,62.15,1.0
270.1327919960022,62.15,1.0
271.13311076164246,62.15,1.0
272.1340708732605,62.15,1.0
273.13462948799133,62.18,1.0
